state_time,loop_time,motor_current,motor_volt,batt_current,batt_volt,motor_angle,motor_velocity,motor_torque,ankle_angle,ankle_velocity,ankle_torque,temperature
1526453,3.005,0,0,137,24516,-1,0,0.0,-0.018518518518518517,0,0.0,0
1526458,3.01,0,0,137,24516,-1,0,0.0,-0.018518518518518517,0,0.0,0
1526463,3.015,234,1200,141,24519,0,4,0.02808,0.0,0,1.0159344000000001,0
1526473,3.025,899,1200,160,24517,173,498,0.10788,3.2037037037037037,0,3.9030984,0
1526478,3.03,558,1200,160,24517,290,515,0.06696,5.37037037037037,0,2.4226128000000005,0
1526483,3.035,515,1200,168,24513,409,535,0.0618,7.574074074074074,0,2.2359240000000002,0
1526488,3.04,505,1200,168,24513,528,528,0.0606,9.777777777777779,0,2.192508,0
1526493,3.045,483,1200,181,24510,649,526,0.057960000000000005,12.018518518518519,0,2.0969928,0
1526498,3.05,463,1200,181,24510,767,522,0.05556,14.203703703703704,0,2.0101608,0
1526503,3.055,454,1200,181,24510,891,544,0.05448,16.5,0,1.9710864000000001,0
1526508,3.06,455,1200,181,24510,1014,539,0.0546,18.77777777777778,0,1.9754280000000004,0
1526513,3.065,466,1200,174,24510,1137,536,0.055920000000000004,21.055555555555557,0,2.0231856,0
1526518,3.07,456,1200,174,24510,1261,542,0.054720000000000005,23.35185185185185,0,1.9797696000000002,0
1526523,3.075,446,1200,170,24510,1386,551,0.05352,25.666666666666668,0,1.9363536,0
1526528,3.08,449,1200,170,24510,1506,529,0.053880000000000004,27.88888888888889,0,1.9493784000000003,0
1526533,3.085,443,1200,161,24510,1630,540,0.05316,30.185185185185187,0,1.9233288,0
1526538,3.09,414,1200,161,24510,1757,558,0.04968,32.53703703703704,0,1.7974224000000003,0
1526543,3.095,440,1200,153,24509,1883,543,0.0528,34.870370370370374,0,1.910304,0
1526548,3.1,454,1200,153,24509,2006,544,0.05448,37.148148148148145,0,1.9710864000000001,0
1526558,3.11,434,1200,160,24509,2256,542,0.05208,41.77777777777778,0,1.8842544,0
1526563,3.115,465,1200,157,24509,2375,534,0.0558,43.98148148148148,0,2.0188440000000005,0
1526568,3.12,447,1200,157,24509,2498,541,0.05364,46.25925925925926,0,1.9406952000000002,0
1526573,3.125,448,1200,154,24511,2622,543,0.05376,48.55555555555556,0,1.9450368000000002,0
1526578,3.13,486,1200,154,24511,2741,532,0.058320000000000004,50.75925925925926,0,2.1100176000000004,0
1526583,3.135,490,1200,147,24509,2863,537,0.0588,53.01851851851852,0,2.127384,0
1526588,3.14,458,1200,147,24509,2984,536,0.05496,55.25925925925926,0,1.9884528000000004,0
1526593,3.145,456,1200,165,24509,3105,529,0.054720000000000005,57.5,0,1.9797696000000002,0
