state_time,loop_time,motor_current,motor_volt,batt_current,batt_volt,motor_angle,motor_velocity,motor_torque,ankle_angle,ankle_velocity,ankle_torque,temperature,gait_state,,,Peak torque,Peak current,Current/torque,
1940804,3.005,0,0,142,24521,2,6,0,0.037037037,0,0,0,1,,Exo,13.0551912,3007,230.3298323,
1940809,3.01,-1,1200,142,24521,0,1,-0.00012,0,0,-0.0043416,0,1,,Dephy,25,14000,560,
1940814,3.015,1091,1200,157,24514,33,190,0.13092,0.611111111,0,4.7366856,0,1,,,,,2.431296,current req -  Dephy/exo
1940819,3.02,1171,1200,157,24514,144,505,0.14052,2.666666667,0,5.0840136,0,1,,,Transmission Ratio,,,
1940824,3.025,499,1200,154,24516,267,547,0.05988,4.944444444,0,2.1664584,0,1,,Exo,36,,,
1940829,3.03,426,1200,154,24516,394,557,0.05112,7.296296296,0,1.8495216,0,1,,Dephy,14,,2.571428571,
1940829,3.03,426,1200,154,24516,394,557,0.05112,7.296296296,0,1.8495216,0,1,,,,,,
1940839,3.04,365,1200,151,24518,655,569,0.0438,12.12962963,0,1.584684,0,1,,,,,,
1940844,3.045,373,1200,141,24519,783,566,0.04476,14.5,0,1.6194168,0,1,,,,,,
1940849,3.05,359,1200,141,24519,916,584,0.04308,16.96296296,0,1.5586344,0,1,,,,,,
1940854,3.055,353,1200,132,24515,1049,577,0.04236,19.42592593,0,1.5325848,0,1,,,,,,
1940859,3.06,373,1200,132,24515,1178,573,0.04476,21.81481481,0,1.6194168,0,1,,,,,,
1940864,3.065,372,1200,121,24517,1309,580,0.04464,24.24074074,0,1.6150752,0,1,,,,,,
1940869,3.07,358,1200,121,24517,1437,566,0.04296,26.61111111,0,1.5542928,0,1,,,,,,
1940874,3.075,376,1200,124,24519,1567,570,0.04512,29.01851852,0,1.6324416,0,1,,,,,,
1940879,3.08,376,1200,124,24519,1697,578,0.04512,31.42592593,0,1.6324416,0,1,,,,,,
1940889,3.09,404,1200,126,24521,1952,565,0.04848,36.14814815,0,1.7540064,0,1,,,,,,
1940894,3.095,406,1200,139,24521,2080,550,0.04872,38.51851852,0,1.7626896,0,1,,,,,,
1940899,3.1,411,1200,139,24521,2208,552,0.04932,40.88888889,0,1.7843976,0,1,,,,,,
1940904,3.105,410,1200,135,24521,2332,550,0.0492,43.18518519,0,1.780056,0,1,,,,,,
1940909,3.11,399,1200,135,24521,2459,562,0.04788,45.53703704,0,1.7322984,0,1,,,,,,
1940914,3.115,413,1200,125,24525,2584,545,0.04956,47.85185185,0,1.7930808,0,1,,,,,,
1940919,3.12,437,1200,125,24525,2709,544,0.05244,50.16666667,0,1.8972792,0,1,,,,,,
1940924,3.125,423,1200,140,24524,2835,563,0.05076,52.5,0,1.8364968,0,1,,,,,,
1940929,3.13,400,1200,140,24524,2961,548,0.048,54.83333333,0,1.73664,0,1,,,,,,
1940934,3.135,413,1200,141,24521,3085,542,0.04956,57.12962963,0,1.7930808,0,1,,,,,,
1940939,3.14,388,1200,141,24521,3213,566,0.04656,59.5,0,1.6845408,0,1,,,,,,
1940944,3.145,381,1200,144,24518,3340,561,0.04572,61.85185185,0,1.6541496,0,1,,,,,,
1940949,3.15,405,1200,144,24518,3465,544,0.0486,64.16666667,0,1.758348,0,1,,,,,,
1940954,3.155,413,1200,135,24521,3592,554,0.04956,66.51851852,0,1.7930808,0,1,,,,,,
1940959,3.16,394,1200,135,24521,3719,558,0.04728,68.87037037,0,1.7105904,0,1,,,,,,
1940964,3.165,399,1200,138,24522,3843,542,0.04788,71.16666667,0,1.7322984,0,1,,,,,,
1940969,3.17,416,1200,138,24522,3968,552,0.04992,73.48148148,0,1.8061056,0,1,,,,,,
1940974,3.175,417,1200,148,24518,4095,556,0.05004,75.83333333,0,1.8104472,0,1,,,,,,
1940979,3.18,422,1200,148,24518,4220,550,0.05064,78.14814815,0,1.8321552,0,1,,,,,,
1940984,3.185,429,1200,150,24518,4345,547,0.05148,80.46296296,0,1.8625464,0,1,,,,,,
1940989,3.19,413,1200,150,24518,4471,557,0.04956,82.7962963,0,1.7930808,0,1,,,,,,
1940999,3.2,389,1200,148,24517,4726,567,0.04668,87.51851852,0,1.6888824,0,1,,,,,,
1941004,3.205,379,1200,126,24521,4856,565,0.04548,89.92592593,0,1.6454664,0,1,,,,,,
1941009,3.21,387,1200,126,24521,4984,567,0.04644,92.2962963,0,1.6801992,0,1,,,,,,
1941014,3.215,382,1200,133,24520,5113,570,0.04584,94.68518519,0,1.6584912,0,1,,,,,,
